"k","g","lambda","s"
10,1,0.221074074274313,0.0216292409846378
10,1,0.243531207343342,0.0237741460843854
10,1,0.268269579527973,0.0261260748415513
10,1,0.295520923520289,0.0287038339988379
10,1,0.325540511868503,0.0315276969272763
10,1,0.358609548201183,0.0346194676546581
10,1,0.395037801356664,0.0380025362971848
10,1,0.435166507092442,0.0417019227049873
10,1,0.479371564555822,0.0457443045704373
10,1,0.528067057458264,0.0501580256448093
10,1,0.581709132937436,0.0549730790772507
10,1,0.6408002744416,0.060221060250586
10,1,0.705894008661875,0.0659350828703099
10,1,0.777600090603804,0.0721496515056015
10,1,0.85659021536855,0.0789004833355471
10,1,0.943604310147889,0.0862242715841704
10,1,1.03945746537226,0.0941583831119196
10,1,1.14504756993828,0.102740482959161
10,1,1.26136372203744,0.112008079409519
10,1,1.38949549437314,0.121997984463807
10,1,1.53064314055636,0.132745686593376
10,1,1.68612883828688,0.144284635367246
10,1,1.85740907463857,0.156645441086394
10,1,2.04608828946601,0.169854996933342
10,1,2.25393390473479,0.183935536314905
10,1,2.48289288056033,0.198903643916303
10,1,2.73510995304121,0.214769245269693
10,1,3.01294772472699,0.231534606029488
10,1,3.31900879591468,0.249193378183872
10,1,3.6561601440852,0.267729735555918
10,1,4.0275599798503,0.28711764452518
10,1,4.43668733097862,0.307320317276544
10,1,4.88737463162443,0.32828989345391
10,1,5.38384362203349,0.349967391395118
10,1,5.93074489501057,0.372282961913981
10,1,6.53320145959378,0.39515646594887
10,1,7.19685673001152,0.418498382756876
10,1,7.92792738945061,0.442211038522817
10,1,8.73326162382844,0.466190127442615
10,1,9.62040327106476,0.490326479948171
10,1,10.5976624867607,0.514508017284604
10,1,11.6741935882346,0.538621819571257
10,1,12.8600808061057,0.56255622695222
10,1,14.1664327466902,0.586202891224416
10,1,15.6054864500707,0.609458698646502
10,1,17.1907220185857,0.632227493143997
10,1,18.9369888895036,0.654421541986101
10,1,20.8606449347196,0.675962701973556
10,1,22.9797096904697,0.696783261773534
10,1,25.3140331524157,0.71682645375452
10,1,27.8854817172629,0.736046645133632
10,1,30.718143012687,0.754409232344309
10,1,33.8385515342824,0.771890273514629
10,1,37.2759372031494,0.788475901450055
10,1,41.062499172443,0.804161563533563
10,1,45.233707447721,0.818951135781261
10,1,49.8286351464731,0.832855956424246
10,1,54.8903245092156,0.845893820448073
10,1,60.4661900907044,0.858087971165633
10,1,66.6084629080916,0.869466118749868
10,1,73.3746797065139,0.880059509251479
10,1,80.8282219252272,0.889902061407386
10,1,89.0389094129674,0.899029582824842
10,1,98.0836544540668,0.907479072108449
10,1,108.047182231813,0.915288109288685
10,1,119.022824477872,0.922494333537745
10,1,131.113393742157,0.929135004588777
10,1,144.432146472728,0.935246642435512
10,1,159.103843927215,0.94086473868504
10,1,175.265920853676,0.94602353226151
10,1,193.069772888325,0.95075584190711
10,1,212.682174729621,0.955092948000252
10,1,234.286842373224,0.959064516521435
10,1,258.086154041808,0.962698558469974
10,1,284.303045930267,0.966021418608187
10,1,313.183100524384,0.969057788034788
10,1,344.996847054972,0.971830735729178
10,1,380.042295636589,0.974361754835642
10,1,418.647728828996,0.976670820052357
10,1,461.174776770826,0.978776453042469
10,1,508.021804691302,0.980695793286232
10,1,559.627644531955,0.982444672241607
10,1,616.475705633717,0.984037689075454
10,1,679.098502995572,0.985488286570745
10,1,748.082645522509,0.986808826110104
10,1,824.074330989367,0.988010660886616
10,1,907.785399193756,0.989104206703675
10,1,1000,0.99009900990099
