"dataset_id","scale","method","rmse_original","mae_original","slope_var_trace","ok","cond","gamma3","gamma4","g2","g3","dispatch","dispatch_status","est_version","phase","g_mode","reps","test_n","B_boot","delta_main","seed_base","generated"
"instinnovation_value","log1p","PMM3_RTE_Stable",15401.6062059541,4116.25471505072,0.723529586152211,1,26.6516796366058,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,"OLS","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","log1p","RTE_CV",314364.531485189,22013.9424027854,0.540145519554395,1,26.6516796366058,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,"OLS","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","log1p","RTE_Stable",108890.210375149,10836.9100827862,0.0267293229526365,1,26.6516796366058,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,"OLS","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","OLS",10006.7156739829,3984.41144481593,7166828.69075744,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","PMM2",10093.8168551725,3508.4172779385,5003620.57301472,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","PMM2_RTE_Stable",10086.5284128174,3562.69756240905,2653575.26161288,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","PMM3",10006.7156739829,3984.41144481593,7166828.69075745,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","PMM3_RTE_Stable",10001.4722067272,3640.71264434797,1676048.73741837,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","RTE_CV",9949.14368308377,3825.88428989918,11636882.8481158,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"instinnovation_value","raw","RTE_Stable",10001.4722067272,3640.71264434797,1676048.73741837,1,26.6516796366058,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","log1p","OLS",25.3088035380523,12.289531844942,0.13836387986342,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","log1p","PMM2",26.8604687243574,12.9315358750372,55.6857866322815,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","log1p","PMM2_RTE_Stable",25.2810730323267,12.9819029686976,12.8488937049423,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
