"scenario_id","order","n","p","rho","error","k_fixed","g_fixed","raw_cov_ratio","transferred_cov_ratio","gS_emp","reps","est_version","phase","g_mode","test_n","B_boot","delta_main","seed_base","generated"
"ct_pmm3_n300_p4_rho0.80_uniform","pmm3",300,4,0.8,"uniform",1,1,0.337966857494004,0.337954803943593,0.35711028512007,300,"0.5.0-pmmrte","final","deployable",5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"ct_pmm3_n500_p4_rho0.80_tn1.5","pmm3",500,4,0.8,"tn1.5",1,1,0.677295840328754,0.677359416477934,0.661942083658757,300,"0.5.0-pmmrte","final","deployable",5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"ct_pmm3_n300_p8_rho0.90_uniform","pmm3",300,8,0.9,"uniform",1,1,0.374747250754598,0.374700024891398,0.391168908151181,300,"0.5.0-pmmrte","final","deployable",5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
